"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0143","MD1876",1881,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1881"
"HID0144","MD1876",1881,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1881"
"HID0145","MD1876",1881,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1881"
"HID0146","MD1876",1882,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1882"
"HID0147","MD1876",1882,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1882"
"HID0148","MD1876",1882,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1882"
"HID0149","MD1876",1882,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1882"
"HID0150","MD1876",1882,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1882"
"HID0151","MD1876",1882,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1882"
"HID0152","MD1876",1882,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1882"
"HID0153","MD1876",1882,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1882"
"HID0154","MD1876",1882,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1882"
"HID0155","MD1876",1882,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1882"
"HID0156","MD1876",1882,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1882"
"HID0157","MD1876",1882,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1882"
"HID0158","MD1876",1883,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1883"
"HID0159","MD1876",1883,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1883"
"HID0160","MD1876",1883,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1883"
"HID0161","MD1876",1883,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1883"
"HID0162","MD1876",1883,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1883"
"HID0163","MD1876",1883,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1883"
"HID0164","MD1876",1883,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1883"
"HID0165","MD1876",1883,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1883"
"HID0166","MD1876",1883,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1883"
"HID0167","MD1876",1883,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1883"
"HID0168","MD1876",1883,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1883"
"HID0169","MD1876",1883,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1883"
"HID0170","MD1876",1884,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1884"
"HID0171","MD1876",1884,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1884"
"HID0172","MD1876",1884,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1884"
"HID0173","MD1876",1884,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1884"
"HID0174","MD1876",1884,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1884"
"HID0175","MD1876",1884,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1884"
"HID0176","MD1876",1884,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1884"
"HID0177","MD1876",1884,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1884"
"HID0178","MD1876",1884,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1884"
"HID0179","MD1876",1884,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1884"
"HID0180","MD1876",1884,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1884"
"HID0181","MD1876",1884,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1884"
"HID0182","MD1876",1885,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1885"
"HID0183","MD1876",1885,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1885"
"HID0184","MD1876",1885,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1885"
"HID0185","MD1876",1885,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1885"
"HID0186","MD1876",1885,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1885"
"HID0187","MD1876",1885,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1885"
"HID0188","MD1876",1885,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1885"
"HID0189","MD1876",1885,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military","MD1885"
"HID0190","MD1876",1885,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military","MD1885"
"HID0191","MD1876",1885,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil","MD1885"
"HID0192","MD1876",1885,"Burma","Rangoon","British Burma","Act XIV of 1868","Civil","BB1885"
"HID0193","MD1876",1885,"Burma","Thayetmyo","British Burma","Act XIV of 1868","Civil","BB1885"
"HID0194","MD1876",1885,"Burma","Tonghoo","British Burma","Act XIV of 1868","Civil","BB1885"
"HID0195","MD1876",1886,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military","MD1886"
"HID0196","MD1876",1886,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military","MD1886"
"HID0197","MD1876",1886,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military","MD1886"
"HID0198","MD1876",1886,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military","MD1886"
"HID0199","MD1876",1886,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military","MD1886"
"HID0200","MD1876",1886,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military","MD1886"
"HID0201","MD1876",1886,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military","MD1886"
"HID0202","MD1876",1886,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military","MD1886"
